,feature,file,folder
8277,URXUMA,ALB_CR,Laboratory
8278,URXUMS,ALB_CR,Laboratory
8279,LBDSALSI,BIOPRO,Laboratory
8280,LBDSBUSI,BIOPRO,Laboratory
8281,LBDSCASI,BIOPRO,Laboratory
8282,LBDSCHSI,BIOPRO,Laboratory
8283,LBDSCRSI,BIOPRO,Laboratory
8284,LBDSGBSI,BIOPRO,Laboratory
8285,LBDSGLSI,BIOPRO,Laboratory
8286,LBDSIRSI,BIOPRO,Laboratory
8287,LBDSPHSI,BIOPRO,Laboratory
8288,LBDSTBSI,BIOPRO,Laboratory
8289,LBDSTPSI,BIOPRO,Laboratory
8290,LBDSTRSI,BIOPRO,Laboratory
8291,LBDSUASI,BIOPRO,Laboratory
8292,LBXSAL,BIOPRO,Laboratory
8293,LBXSAPSI,BIOPRO,Laboratory
8294,LBXSASSI,BIOPRO,Laboratory
8295,LBXSATSI,BIOPRO,Laboratory
8296,LBXSBU,BIOPRO,Laboratory
8297,LBXSC3SI,BIOPRO,Laboratory
8298,LBXSCA,BIOPRO,Laboratory
8299,LBXSCH,BIOPRO,Laboratory
8300,LBXSCLSI,BIOPRO,Laboratory
8301,LBXSCR,BIOPRO,Laboratory
8302,LBXSGB,BIOPRO,Laboratory
8303,LBXSGL,BIOPRO,Laboratory
8304,LBXSGTSI,BIOPRO,Laboratory
8305,LBXSIR,BIOPRO,Laboratory
8306,LBXSKSI,BIOPRO,Laboratory
8307,LBXSLDSI,BIOPRO,Laboratory
8308,LBXSNASI,BIOPRO,Laboratory
8309,LBXSOSSI,BIOPRO,Laboratory
8310,LBXSPH,BIOPRO,Laboratory
8311,LBXSTB,BIOPRO,Laboratory
8312,LBXSTP,BIOPRO,Laboratory
8313,LBXSTR,BIOPRO,Laboratory
8314,LBXSUA,BIOPRO,Laboratory
8340,LBDTCSI,TCHOL,Laboratory
8341,LBXTC,TCHOL,Laboratory
8540,LBDHDD,HDL,Laboratory
8541,LBDHDDSI,HDL,Laboratory
12193,LBDBCDSI,PBCD,Laboratory
12197,LBDBPBSI,PBCD,Laboratory
12200,LBDTHGLC,PBCD,Laboratory
12201,LBDTHGSI,PBCD,Laboratory
